id,price,location,type
1100861,370000.0,ibraġ,house
1100862,189000.0,ibraġ,apartment
1100864,260000.0,ibraġ,apartment
1100865,312700.0,ibraġ,penthouse
1100866,189000.0,ibraġ,apartment
1100867,470000.0,ibraġ,house
1100871,400000.0,sliema,apartment
1100877,165000.0,valletta,maisonette
1100879,1300000.0,valletta,apartment
1100880,90000.0,valletta,maisonette
1100881,266000.0,valletta,apartment
1100884,189000.0,xemxija,apartment
1100885,355000.0,xemxija,apartment
1100886,199000.0,xemxija,apartment
1100887,245000.0,xemxija,maisonette
1100888,125000.0,xemxija,maisonette
1100889,135000.0,xemxija,apartment
1100890,166000.0,żabbar,maisonette
1100891,240000.0,żabbar,house
1100892,191000.0,żabbar,house
1100893,127500.0,żabbar,maisonette
1100894,130000.0,żabbar,house
1100895,128000.0,żabbar,maisonette
1100896,189000.0,żabbar,apartment
1100897,90000.0,żabbar,penthouse
1100898,267000.0,żabbar,house
1100899,189000.0,żabbar,apartment
1100340,149000.0,attard,apartment
1100346,300000.0,gozo,house
1100347,115000.0,gozo,apartment
1100348,147000.0,gozo,apartment
1100350,189000.0,gżira,apartment
1100351,199000.0,lija,maisonette
1100352,370000.0,mellieħa,house
1100353,115000.0,mosta,apartment
1100354,189000.0,msida,apartment
1100356,265000.0,sliema,penthouse
1100357,200000.0,sliema,maisonette
1100358,120000.0,st venera,maisonette
1100310,199000.0,lija,maisonette
1100311,155000.0,msida,apartment
1100312,660000.0,sliema,penthouse
1100313,420000.0,st julians,villa
1100272,105000.0,gozo,apartment
1100273,70000.0,gozo,flat
1100274,290000.0,gozo,apartment
1100275,180000.0,gozo,house
1100276,199000.0,lija,maisonette
1100277,155000.0,msida,apartment
1100278,295000.0,naxxar,flat
1100280,260000.0,sliema,penthouse
1100281,660000.0,sliema,penthouse
1100282,420000.0,st julians,villa
1100283,109000.0,xemxija,apartment
1100201,680000.0,attard,villa
1100202,100000.0,birkirkara,apartment
1100203,108000.0,birkirkara,penthouse
1100206,199000.0,lija,maisonette
1100208,155000.0,msida,apartment
1100209,185000.0,msida,maisonette
1100210,189000.0,qawra,apartment
1100211,189000.0,isla,apartment
1100212,333000.0,sliema,apartment
1100213,370000.0,sliema,penthouse
1100214,326000.0,sliema,penthouse
1100215,660000.0,sliema,penthouse
1100216,1500000.0,st julians,penthouse
1100217,100000.0,st julians,apartment
1100218,420000.0,st julians,villa
1100219,395000.0,st julians,apartment
1100220,275000.0,msida,flat
1100221,660000.0,valletta,house
1100222,200000.0,valletta,maisonette
1100223,109000.0,xemxija,apartment
1100169,100000.0,birkirkara,apartment
1100170,85000.0,gozo,apartment
1100171,189000.0,gozo,apartment
1100172,189000.0,gżira,apartment
1100174,199000.0,lija,maisonette
1100175,155000.0,msida,apartment
1100176,389000.0,sliema,apartment
1100177,660000.0,sliema,penthouse
1100178,100000.0,st julians,apartment
1100179,420000.0,st julians,villa
1100180,189000.0,st julians,apartment
1100181,109000.0,xemxija,apartment
1100150,100000.0,birkirkara,apartment
1100153,199000.0,lija,maisonette
1100154,155000.0,msida,apartment
1100155,660000.0,sliema,penthouse
1100156,420000.0,st julians,villa
1237528,240000.0,attard,apartment
1237529,295000.0,birkirkara,penthouse
1237530,385000.0,gozo,house
1237531,175000.0,gozo,penthouse
1237532,285000.0,lija,apartment
1237533,348000.0,qawra,penthouse
1237537,1450000.0,sliema,apartment
1237538,520000.0,sliema,apartment
1237539,290000.0,ibraġ,maisonette
1237512,285000.0,lija,apartment
1237513,158000.0,qawra,apartment
1237514,2390000.0,sliema,apartment
1237505,520000.0,sliema,apartment
1237506,210000.0,st julians,maisonette
1236860,775000.0,attard,villa
1236861,695000.0,attard,villa
1236862,980000.0,attard,house
1236863,382000.0,attard,penthouse
1236864,189000.0,attard,apartment
1236865,950000.0,attard,villa
1236866,885000.0,attard,villa
1236867,310000.0,attard,maisonette
1236868,310000.0,attard,maisonette
1236869,370000.0,attard,house
1236870,210000.0,attard,maisonette
1236875,239000.0,attard,maisonette
1236876,239000.0,attard,maisonette
1236877,190000.0,baħrija,apartment
1236884,349000.0,birkirkara,maisonette
1236885,189000.0,birkirkara,apartment
1236886,850000.0,birkirkara,house
1236887,285000.0,birkirkara,house
1236888,189000.0,birkirkara,apartment
1236889,295000.0,birkirkara,penthouse
1236890,150000.0,birkirkara,apartment
1236891,189000.0,birkirkara,maisonette
1236892,165000.0,birkirkara,apartment
1236893,121000.0,birkirkara,maisonette
1236894,163000.0,birkirkara,penthouse
1236895,277000.0,birkirkara,penthouse
1236896,97000.0,birkirkara,apartment
1236897,121000.0,birkirkara,apartment
1236898,550000.0,birkirkara,maisonette
1236899,228000.0,birkirkara,apartment
1236900,189000.0,birkirkara,apartment
1236901,550000.0,birkirkara,house
1236902,235000.0,birkirkara,penthouse
1236903,170000.0,birkirkara,house
1236904,190000.0,birkirkara,house
1236905,175000.0,birżebbuġa,maisonette
1236906,460000.0,birżebbuġa,house
1236907,190000.0,birżebbuġa,apartment
1236909,460000.0,birżebbuġa,house
1236910,119000.0,buġibba,apartment
1236912,189000.0,buġibba,apartment
1236913,119000.0,buġibba,apartment
1236914,119000.0,buġibba,apartment
1236915,225000.0,buġibba,maisonette
1236916,180000.0,buġibba,apartment
1236948,150000.0,gozo,apartment
1236949,185000.0,gozo,penthouse
1236950,255000.0,gozo,apartment
1236951,285000.0,gozo,apartment
1236952,85000.0,gozo,apartment
1236953,80000.0,gozo,penthouse
1236954,165000.0,gozo,apartment
1236955,198000.0,gozo,apartment
1236956,175000.0,gozo,maisonette
1236957,350000.0,gozo,house
1236958,380000.0,gozo,house
1236959,145000.0,gozo,apartment
1236960,435000.0,gozo,house
1236961,160000.0,gozo,apartment
1236962,350000.0,gozo,house
1236963,260000.0,gozo,penthouse
1236964,340000.0,gozo,house
1236965,190000.0,gozo,house
1236966,148000.0,gozo,house
1236967,330000.0,gozo,house
1236968,250000.0,gozo,house
1236969,250000.0,gozo,apartment
1236970,125000.0,gozo,apartment
1236971,295000.0,gozo,flat
1236972,250000.0,gozo,house
1236973,140000.0,gozo,maisonette
1236974,315000.0,gozo,house
1236975,105000.0,gozo,house
1236976,189000.0,gozo,apartment
1236978,225000.0,pietà,apartment
1236979,250000.0,pietà,penthouse
1236980,200000.0,pietà,apartment
1236984,185000.0,gżira,apartment
1236985,225000.0,gżira,apartment
1236987,200000.0,gżira,apartment
1236988,189000.0,gżira,apartment
1236989,225000.0,gżira,apartment
1236990,280000.0,gżira,apartment
1236991,260000.0,gżira,penthouse
1236992,189000.0,gżira,apartment
1236993,279000.0,gżira,penthouse
1236994,195000.0,gżira,penthouse
1236995,190000.0,gżira,apartment
1236996,260000.0,gżira,apartment
1236997,250000.0,gżira,apartment
1237024,370000.0,lija,house
1237025,1300000.0,lija,house
1237026,189000.0,lija,apartment
1237027,285000.0,lija,apartment
1237028,370000.0,lija,house
1237033,189000.0,mellieħa,apartment
1237034,775000.0,mellieħa,villa
1237035,275000.0,mellieħa,apartment
1237058,189000.0,mellieħa,apartment
1237060,1200000.0,mellieħa,flat
1237062,350000.0,mellieħa,maisonette
1237064,775000.0,mellieħa,villa
1237065,185000.0,mellieħa,apartment
1237066,250000.0,mellieħa,apartment
1237067,280000.0,mellieħa,apartment
